Invoice ID,Branch,Region,Customer_type,Gender,Product_line,Unit price,Quantity,Tax_5%,Total,Date,Time,Payment,cogs,gross_income,Rating
183-56-6882,C,Mohali,Member,Female,Food and beverages,99.42,4,19.884,417.564,02-06-2021,10:42,Paytm wallet,397.68,19.884,7.5
232-16-2483,C,Mohali,Member,Female,Sports and travel,68.12,1,3.406,71.526,01-07-2021,12:28,Paytm wallet,68.12,3.406,6.8
129-29-8530,A,Chandighar,Member,Male,Sports and travel,62.62,5,15.655,328.755,03-10-2021,19:15,Paytm wallet,313.1,15.655,7
272-65-1806,A,Chandighar,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,01-15-2021,17:17,Paytm wallet,547.92,27.396,4.7
333-73-7901,C,Mohali,Normal,Female,Health and beauty,54.92,8,21.968,461.328,03-23-2021,13:24,Paytm wallet,439.36,21.968,7.6
777-82-7220,B,Ferozepur,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,03-03-2021,13:01,Cash,240.96,12.048,7.7
280-35-5823,B,Ferozepur,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,01-17-2021,18:45,Paytm wallet,86.72,4.336,7.9
554-53-8700,C,Mohali,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,02-02-2021,10:11,Cash,112.22,5.611,6.3
354-25-5821,B,Ferozepur,Member,Female,Sports and travel,69.12,6,20.736,435.456,02-08-2021,13:03,Cash,414.72,20.736,5.6
228-96-1411,C,Mohali,Member,Female,Food and beverages,98.7,8,39.48,829.08,03-04-2021,20:39,Cash,789.6,39.48,7.6
617-15-4209,C,Mohali,Member,Male,Health and beauty,15.37,2,1.537,32.277,03-16-2021,19:47,Cash,30.74,1.537,7.2
132-32-9879,B,Ferozepur,Member,Female,Electronic accessories,93.96,4,18.792,394.632,03-09-2021,18:00,Cash,375.84,18.792,9.5
370-41-7321,B,Ferozepur,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,02-27-2021,17:24,Credit card,510.21,25.5105,8.4
727-46-3608,B,Ferozepur,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,02-06-2021,15:47,Paytm wallet,180.09,9.0045,4.1
669-54-1719,B,Ferozepur,Member,Male,Electronic accessories,18.93,6,5.679,119.259,02-10-2021,12:45,Credit card,113.58,5.679,8.1
574-22-5561,C,Mohali,Member,Female,Fashion accessories,82.63,10,41.315,867.615,03-19-2021,17:08,Paytm wallet,826.3,41.315,7.9
326-78-5178,C,Mohali,Member,Male,Food and beverages,91.4,7,31.99,671.79,02-03-2021,10:19,Cash,639.8,31.99,9.5
162-48-8011,A,Chandighar,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,02-10-2021,15:10,Cash,222.95,11.1475,8.5
616-24-2851,B,Ferozepur,Member,Female,Fashion accessories,17.87,4,3.574,75.054,03-22-2021,14:42,Paytm wallet,71.48,3.574,6.5
778-71-5554,C,Mohali,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,01-25-2021,15:46,Credit card,15.43,0.7715,6.1
242-55-6721,B,Ferozepur,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,03-07-2021,11:49,Paytm wallet,32.32,1.616,6.5
399-46-5918,C,Mohali,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,02-28-2021,19:01,Cash,687.84,34.392,8.2
106-35-6779,A,Chandighar,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,03-27-2021,11:26,Cash,88.68,4.434,5.8
635-40-6220,A,Chandighar,Normal,Male,Health and beauty,89.6,8,35.84,752.64,02-07-2021,11:28,Paytm wallet,716.8,35.84,6.6
817-48-8732,A,Chandighar,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,01-20-2021,15:55,Cash,723.5,36.175,5.4
120-06-4233,C,Mohali,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,03-12-2021,20:36,Cash,183.66,9.183,9.3
285-68-5083,C,Mohali,Member,Female,Sports and travel,24.74,3,3.711,77.931,02-15-2021,17:47,Credit card,74.22,3.711,10
803-83-5989,C,Mohali,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,02-24-2021,10:55,Paytm wallet,334.38,16.719,7
347-34-2234,B,Ferozepur,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,02-03-2021,13:40,Paytm wallet,495.63,24.7815,10
199-75-8169,A,Chandighar,Member,Male,Sports and travel,15.81,10,7.905,166.005,03-06-2021,12:27,Credit card,158.1,7.905,8.6
853-23-2453,B,Ferozepur,Member,Male,Health and beauty,75.74,4,15.148,318.108,02-14-2021,14:35,Cash,302.96,15.148,7.6
877-22-3308,A,Chandighar,Member,Male,Health and beauty,15.87,10,7.935,166.635,03-13-2021,16:40,Cash,158.7,7.935,5.8
838-78-4295,C,Mohali,Normal,Female,Health and beauty,33.47,2,3.347,70.287,02-10-2021,15:43,Paytm wallet,66.94,3.347,6.7
109-28-2512,B,Ferozepur,Member,Female,Fashion accessories,97.61,6,29.283,614.943,01-07-2021,15:01,Paytm wallet,585.66,29.283,9.9
232-11-3025,A,Chandighar,Normal,Male,Sports and travel,78.77,10,39.385,827.085,01-24-2021,10:04,Cash,787.7,39.385,6.4
382-03-4532,A,Chandighar,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,02-02-2021,18:50,Cash,18.33,0.9165,4.3
393-65-2792,C,Mohali,Normal,Male,Food and beverages,89.48,10,44.74,939.54,01-06-2021,12:46,Credit card,894.8,44.74,9.6
796-12-2025,C,Mohali,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,02-11-2021,16:19,Cash,621.2,31.06,5.9
510-95-6347,B,Ferozepur,Member,Female,Food and beverages,48.52,3,7.278,152.838,03-05-2021,18:17,Paytm wallet,145.56,7.278,4
841-35-6630,C,Mohali,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,03-09-2021,18:21,Cash,455.46,22.773,8.7
287-21-9091,A,Chandighar,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,01-22-2021,10:55,Paytm wallet,672.03,33.6015,9.4
732-94-0499,C,Mohali,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,01-13-2021,17:04,Credit card,416.5,20.825,5.4
263-10-3913,C,Mohali,Member,Male,Fashion accessories,49.04,9,22.068,463.428,01-09-2021,14:20,Credit card,441.36,22.068,8.6
381-20-0914,A,Chandighar,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,01-12-2021,15:48,Credit card,180.09,9.0045,5.7
829-49-1914,C,Mohali,Member,Female,Food and beverages,78.31,10,39.155,822.255,03-05-2021,16:24,Paytm wallet,783.1,39.155,6.6
756-01-7507,C,Mohali,Normal,Female,Health and beauty,20.38,5,5.095,106.995,01-22-2021,18:56,Cash,101.9,5.095,6
870-72-4431,C,Mohali,Normal,Female,Health and beauty,99.19,6,29.757,624.897,01-21-2021,14:42,Credit card,595.14,29.757,5.5
847-38-7188,B,Ferozepur,Normal,Female,Food and beverages,96.68,3,14.502,304.542,01-26-2021,19:56,Paytm wallet,290.04,14.502,6.4
480-63-2856,C,Mohali,Normal,Male,Food and beverages,19.25,8,7.7,161.7,01-23-2021,18:37,Paytm wallet,154,7.7,6.6
787-56-0757,C,Mohali,Member,Female,Food and beverages,80.36,4,16.072,337.512,02-23-2021,18:45,Credit card,321.44,16.072,8.3
360-39-5055,C,Mohali,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,03-09-2021,10:17,Cash,244.55,12.2275,6.6
730-50-9884,C,Mohali,Normal,Female,Sports and travel,83.06,7,29.071,610.491,03-05-2021,14:31,Paytm wallet,581.42,29.071,4
362-58-8315,C,Mohali,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,03-25-2021,10:23,Cash,382.6,19.13,9.9
633-44-8566,A,Chandighar,Member,Male,Food and beverages,49.38,7,17.283,362.943,03-27-2021,20:35,Credit card,345.66,17.283,7.3
504-35-8843,A,Chandighar,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,01-02-2021,16:57,Cash,42.47,2.1235,5.7
318-68-5053,B,Ferozepur,Normal,Female,Health and beauty,76.99,6,23.097,485.037,02-27-2021,17:55,Cash,461.94,23.097,6.1
565-80-5980,C,Mohali,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,01-23-2021,10:25,Cash,189.52,9.476,7.1
225-32-0908,C,Mohali,Normal,Female,Sports and travel,44.86,10,22.43,471.03,01-26-2021,19:54,Paytm wallet,448.6,22.43,8.2
873-51-0671,A,Chandighar,Member,Female,Sports and travel,21.98,7,7.693,161.553,01-10-2021,16:42,Paytm wallet,153.86,7.693,5.1
152-08-9985,B,Ferozepur,Member,Male,Health and beauty,64.36,9,28.962,608.202,03-12-2021,12:09,Credit card,579.24,28.962,8.6
512-91-0811,C,Mohali,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,02-06-2021,20:05,Credit card,89.75,4.4875,6.6
594-34-4444,A,Chandighar,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,03-08-2021,20:38,Paytm wallet,97.16,4.858,7.2
766-85-7061,B,Ferozepur,Normal,Male,Health and beauty,87.87,10,43.935,922.635,03-29-2021,10:25,Paytm wallet,878.7,43.935,5.1
871-39-9221,C,Mohali,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,02-09-2021,13:11,Cash,74.7,3.735,4.1
865-92-6136,A,Chandighar,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,03-23-2021,10:16,Paytm wallet,158.25,7.9125,9.3
733-01-9107,B,Ferozepur,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,03-05-2021,18:14,Cash,496.2,24.81,7.4
163-56-7055,C,Mohali,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,03-26-2021,19:20,Cash,48.71,2.4355,4.1
189-98-2939,C,Mohali,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,03-01-2021,13:22,Cash,706.95,35.3475,7.2
551-21-3069,C,Mohali,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,02-01-2021,11:27,Cash,207.63,10.3815,4.9
212-62-1842,A,Chandighar,Normal,Male,Food and beverages,58.26,6,17.478,367.038,03-28-2021,16:44,Cash,349.56,17.478,9.9
716-39-1409,B,Ferozepur,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,03-19-2021,18:19,Cash,212.45,10.6225,8
704-48-3927,A,Chandighar,Member,Male,Electronic accessories,88.67,10,44.335,931.035,01-12-2021,14:50,Paytm wallet,886.7,44.335,7.3
628-34-3388,C,Mohali,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,01-05-2021,20:54,Credit card,164.28,8.214,7.9
630-74-5166,A,Chandighar,Normal,Male,Sports and travel,62.13,6,18.639,391.419,03-22-2021,20:19,Cash,372.78,18.639,7.4
588-01-7461,C,Mohali,Normal,Female,Food and beverages,33.98,9,15.291,321.111,03-24-2021,10:43,Cash,305.82,15.291,4.2
861-77-0145,C,Mohali,Member,Male,Electronic accessories,81.97,10,40.985,860.685,03-03-2021,14:30,Cash,819.7,40.985,9.2
479-26-8945,B,Ferozepur,Member,Female,Sports and travel,16.49,2,1.649,34.629,02-05-2021,11:32,Paytm wallet,32.98,1.649,4.6
210-67-5886,C,Mohali,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,02-05-2021,10:41,Credit card,294.63,14.7315,7.8
227-78-1148,B,Ferozepur,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,02-15-2021,12:44,Cash,509.88,25.494,8.4
645-44-1170,A,Chandighar,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,01-19-2021,20:07,Paytm wallet,522.63,26.1315,4.3
237-01-6122,C,Mohali,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,02-01-2021,20:31,Credit card,727.11,36.3555,9.5
225-98-1496,C,Mohali,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,03-02-2021,13:01,Credit card,81.06,4.053,7.1
291-32-1427,B,Ferozepur,Member,Male,Fashion accessories,21.94,5,5.485,115.185,03-05-2021,12:29,Paytm wallet,109.7,5.485,5.3
659-65-8956,B,Ferozepur,Member,Male,Fashion accessories,51.36,1,2.568,53.928,01-16-2021,15:26,Paytm wallet,51.36,2.568,5.2
642-32-2990,A,Chandighar,Normal,Female,Food and beverages,10.96,10,5.48,115.08,02-02-2021,20:48,Paytm wallet,109.6,5.48,6
378-24-2715,B,Ferozepur,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,01-20-2021,20:38,Paytm wallet,106.88,5.344,4.1
638-60-7125,A,Chandighar,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,02-14-2021,17:03,Credit card,796.48,39.824,5.2
659-36-1684,C,Mohali,Member,Male,Sports and travel,57.12,7,19.992,419.832,01-12-2021,12:02,Credit card,399.84,19.992,6.5
219-22-9386,B,Ferozepur,Member,Male,Sports and travel,99.96,9,44.982,944.622,03-09-2021,17:26,Credit card,899.64,44.982,4.2
336-78-2147,C,Mohali,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,03-13-2021,19:52,Credit card,511.28,25.564,4.6
268-27-6179,B,Ferozepur,Member,Female,Fashion accessories,56.47,8,22.588,474.348,03-09-2021,14:57,Paytm wallet,451.76,22.588,7.3
668-90-8900,A,Chandighar,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,03-10-2021,18:44,Credit card,655.83,32.7915,4.5
870-54-3162,A,Chandighar,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,01-27-2021,13:26,Cash,161.25,8.0625,9
189-08-9157,C,Mohali,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,01-08-2021,16:17,Credit card,285.57,14.2785,5.9
663-86-9076,C,Mohali,Member,Female,Food and beverages,68.54,8,27.416,575.736,01-08-2021,15:57,Paytm wallet,548.32,27.416,8.5
549-84-7482,B,Ferozepur,Normal,Female,Sports and travel,90.28,9,40.626,853.146,02-08-2021,11:15,Paytm wallet,812.52,40.626,7.2
191-10-6171,B,Ferozepur,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,01-25-2021,13:18,Cash,277.34,13.867,7.5
802-70-5316,A,Chandighar,Member,Female,Sports and travel,92.13,6,27.639,580.419,03-06-2021,20:34,Cash,552.78,27.639,8.3
695-51-0018,B,Ferozepur,Normal,Female,Sports and travel,34.84,4,6.968,146.328,02-10-2021,18:36,Cash,139.36,6.968,7.4
590-83-4591,B,Ferozepur,Member,Male,Electronic accessories,87.45,6,26.235,550.935,02-17-2021,14:40,Credit card,524.7,26.235,8.8
483-71-1164,C,Mohali,Normal,Female,Health and beauty,81.3,6,24.39,512.19,03-08-2021,16:43,Paytm wallet,487.8,24.39,5.3
597-78-7908,C,Mohali,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,02-18-2021,19:39,Cash,270.66,13.533,6.2
700-81-1757,A,Chandighar,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,01-18-2021,20:59,Credit card,131.55,6.5775,8.8
354-39-5160,A,Chandighar,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,02-18-2021,15:39,Cash,206.52,10.326,9.8
241-72-9525,B,Ferozepur,Normal,Male,Sports and travel,51.91,10,25.955,545.055,02-16-2021,12:21,Cash,519.1,25.955,8.2
575-30-8091,A,Chandighar,Normal,Male,Sports and travel,72.5,8,29,609,03-16-2021,19:25,Paytm wallet,580,29,9.2
731-81-9469,C,Mohali,Member,Female,Sports and travel,89.8,10,44.9,942.9,01-23-2021,13:00,Credit card,898,44.9,5.4
280-17-4359,C,Mohali,Member,Male,Health and beauty,90.5,10,45.25,950.25,01-25-2021,13:48,Cash,905,45.25,8.1
338-65-2210,C,Mohali,Member,Female,Health and beauty,68.6,10,34.3,720.3,02-05-2021,19:57,Cash,686,34.3,9.1
488-25-4221,C,Mohali,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,02-22-2021,10:36,Credit card,30.41,1.5205,8.4
239-10-7476,A,Chandighar,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,01-21-2021,16:37,Paytm wallet,467.7,23.385,8
458-41-1477,C,Mohali,Normal,Female,Health and beauty,46.26,6,13.878,291.438,03-08-2021,17:11,Credit card,277.56,13.878,9.5
685-64-1609,A,Chandighar,Member,Female,Fashion accessories,30.14,10,15.07,316.47,02-10-2021,12:28,Paytm wallet,301.4,15.07,9.2
568-90-5112,C,Mohali,Normal,Male,Health and beauty,66.14,4,13.228,277.788,03-19-2021,12:46,Credit card,264.56,13.228,5.6
262-47-2794,B,Ferozepur,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,03-06-2021,15:07,Credit card,574.88,28.744,6.2
238-49-0436,A,Chandighar,Normal,Male,Health and beauty,32.46,8,12.984,272.664,03-27-2021,13:48,Credit card,259.68,12.984,4.9
608-96-3517,B,Ferozepur,Member,Female,Fashion accessories,91.54,4,18.308,384.468,03-23-2021,19:20,Credit card,366.16,18.308,4.8
584-86-7256,C,Mohali,Member,Male,Sports and travel,34.56,7,12.096,254.016,03-11-2021,16:07,Credit card,241.92,12.096,7.3
746-94-0204,A,Chandighar,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,01-29-2021,11:56,Credit card,749.16,37.458,7.4
214-17-6927,C,Mohali,Normal,Female,Food and beverages,16.48,6,4.944,103.824,02-07-2021,18:23,Paytm wallet,98.88,4.944,9.9
400-89-4171,C,Mohali,Normal,Female,Sports and travel,80.97,8,32.388,680.148,01-28-2021,13:05,Cash,647.76,32.388,9.3
782-95-9291,A,Chandighar,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,02-20-2021,15:55,Credit card,461.45,23.0725,9
279-74-2924,B,Ferozepur,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,01-04-2021,19:40,Cash,72.17,3.6085,6.1
307-85-2293,B,Ferozepur,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,03-07-2021,13:58,Paytm wallet,251.4,12.57,9.7
743-04-1105,B,Ferozepur,Member,Male,Health and beauty,97.22,9,43.749,918.729,03-30-2021,14:43,Paytm wallet,874.98,43.749,6
423-57-2993,B,Ferozepur,Normal,Male,Sports and travel,93.39,6,28.017,588.357,03-27-2021,19:18,Paytm wallet,560.34,28.017,10
894-41-5205,C,Mohali,Normal,Female,Food and beverages,43.18,8,17.272,362.712,01-19-2021,19:39,Credit card,345.44,17.272,8.3
275-28-0149,A,Chandighar,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,02-25-2021,16:21,Cash,63.69,3.1845,6
101-17-6199,A,Chandighar,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,03-13-2021,19:44,Credit card,320.53,16.0265,7
423-80-0988,C,Mohali,Normal,Male,Sports and travel,76.4,2,7.64,160.44,01-30-2021,19:42,Paytm wallet,152.8,7.64,6.5
548-46-9322,B,Ferozepur,Normal,Male,Food and beverages,39.9,10,19.95,418.95,02-20-2021,15:24,Credit card,399,19.95,5.9
505-02-0892,B,Ferozepur,Member,Male,Health and beauty,42.57,8,17.028,357.588,02-25-2021,14:12,Paytm wallet,340.56,17.028,5.6
234-65-2137,C,Mohali,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,01-16-2021,13:32,Cash,955.8,47.79,4.8
687-47-8271,A,Chandighar,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,02-08-2021,16:20,Credit card,989.8,49.49,8.7
796-32-9050,A,Chandighar,Normal,Male,Food and beverages,51.28,6,15.384,323.064,01-19-2021,16:31,Cash,307.68,15.384,6.5
105-31-1824,A,Chandighar,Member,Male,Sports and travel,69.52,7,24.332,510.972,02-01-2021,15:10,Credit card,486.64,24.332,8.5
249-42-3782,A,Chandighar,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,01-03-2021,11:36,Paytm wallet,350.05,17.5025,5.5
316-55-4634,B,Ferozepur,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,01-26-2021,12:45,Credit card,400.25,20.0125,9.4
733-33-4967,C,Mohali,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,03-03-2021,19:17,Cash,166.8,8.34,6.3
608-27-6295,B,Ferozepur,Member,Male,Electronic accessories,52.89,6,15.867,333.207,01-19-2021,17:34,Credit card,317.34,15.867,9.8
414-12-7047,B,Ferozepur,Normal,Male,Food and beverages,19.79,8,7.916,166.236,01-18-2021,12:04,Paytm wallet,158.32,7.916,8.7
827-26-2100,A,Chandighar,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,03-21-2021,16:21,Paytm wallet,304.56,15.228,8.8
175-54-2529,A,Chandighar,Member,Male,Food and beverages,22.17,8,8.868,186.228,03-03-2021,17:01,Credit card,177.36,8.868,9.6
139-52-2867,C,Mohali,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,02-13-2021,10:50,Credit card,157.57,7.8785,4.8
407-63-8975,A,Chandighar,Normal,Male,Food and beverages,73.88,6,22.164,465.444,03-23-2021,19:16,Paytm wallet,443.28,22.164,4.4
342-65-4817,C,Mohali,Member,Male,Health and beauty,86.8,3,13.02,273.42,01-28-2021,16:47,Paytm wallet,260.4,13.02,9.9
130-98-8941,C,Mohali,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,02-09-2021,10:00,Cash,449.82,22.491,5.7
434-83-9547,C,Mohali,Member,Male,Food and beverages,38.47,8,15.388,323.148,01-23-2021,11:51,Cash,307.76,15.388,7.7
851-28-6367,A,Chandighar,Member,Male,Sports and travel,15.5,10,7.75,162.75,03-23-2021,10:55,Paytm wallet,155,7.75,8
824-88-3614,C,Mohali,Normal,Male,Health and beauty,34.31,8,13.724,288.204,01-25-2021,15:00,Paytm wallet,274.48,13.724,5.7
586-25-0848,A,Chandighar,Normal,Female,Sports and travel,12.34,7,4.319,90.699,03-04-2021,11:19,Credit card,86.38,4.319,6.7
895-66-0685,B,Ferozepur,Member,Male,Food and beverages,18.08,3,2.712,56.952,03-05-2021,19:46,Paytm wallet,54.24,2.712,8
305-14-0245,B,Ferozepur,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,03-03-2021,19:00,Paytm wallet,755.92,37.796,7.5
732-04-5373,B,Ferozepur,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,02-08-2021,10:53,Cash,185.88,9.294,7
400-60-7251,A,Chandighar,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,02-10-2021,12:50,Paytm wallet,74.07,3.7035,9.9
593-65-1552,C,Mohali,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,01-28-2021,20:50,Credit card,279.24,13.962,5.9
284-34-9626,B,Ferozepur,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,02-11-2021,10:39,Credit card,231.12,11.556,7.2
